   -1.428910    -0.195526    -0.623899 
   +3.614675    -0.323222    -0.332015 
   +0.721121    -2.285266    -1.894365 
   -2.755320    -1.816012    -0.392328 
   +0.858358    -0.940456    -0.723933 
   -1.489160    -2.060679    -2.600150 
   -3.715016    -1.944410    +2.606931 
   +4.268631    +1.183865    +0.458094 
   +2.768449    +0.978781    +1.465718 
   -0.809344    -1.333238    -0.656254 
   -3.111007    +4.785432    -0.739950 
   -2.461843    +2.250471    -0.428062 
   -0.165625    +1.853219    +0.083225 
   +0.731020    +2.390592    +1.028397 
   +2.919377    -0.582218    -1.312608 
   +0.054593    -1.961332    +4.061198 
